References,Qty,Description,Part Number
U1,1,,TM4C123GH6PMI
"D9,D10,D11,D12,D13,D8,D7,D6,D5,D4,D3,D2,D1",13,LED BLUE 0603,
"C1,C2",2,10pF 0603 X5R,
C3,1,2.2uF 0603 X5R,
"C4,C7,C14",3,1.0uF 0603 X5R,
"C5,C6,C10,C12,C15",5,0.1uF 0603 X5R,
"C8,C9,C11,C13",4,0.01uF 0603 X5R,
J2,1,,ZX62B5PA33
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13",13,DTC114E SOT-23,
"R1,R16,R17,R19,R20",5,0k 0603,
"R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15",13,R100 0603,
R21,1,51k 0603,
R22,1,10k 0603,
R23,1,100k 0603,
R24,1,30k 0603,
"RV1,RV2",2,,PVG3A
SW1,1,,JS202011SCQN
SW2,1,,B3S-1000
U2,1,TPS73633DBV,
Y1,1,Crystal SMD 16MHz,
